x,y
-4.63,0.57
-7.42,-6.62
0.39,-0.23
-3.85,-1.13
-2.20,-0.90
-4.39,-4.09
5.03,9.77
2.89,4.35
6.79,16.15
0.67,0.35
-5.58,-8.30
-6.49,-4.39
2.24,2.17
4.97,9.02
-3.77,-7.99
0.31,6.17
9.83,21.19
4.45,13.73
-9.14,-8.37
-6.70,-10.07
5.89,12.55
-0.91,5.79
-8.69,-15.78
9.64,20.00
-1.13,1.48
5.14,11.66
8.61,12.76
-9.98,-10.39
5.08,9.79
2.21,4.33
10.00,18.44
0.06,-0.06
-4.57,-2.90
9.18,26.89
1.79,5.71
-8.45,-12.19
2.33,1.16
-9.92,-15.33
-8.71,-9.35
-8.28,-8.22
-0.81,-5.64
-6.05,-1.82
3.04,6.59
9.43,13.75
-0.14,-4.33
-5.52,-5.67
9.81,14.84
-2.38,3.42
-4.47,-2.31
2.03,6.65
9.62,19.09
-1.43,1.52
-0.72,2.02
-2.00,-3.04
9.44,16.59
3.58,8.70
-0.12,0.36
9.91,21.48
-0.06,4.15
-1.21,-1.02
-3.52,0.19
7.36,13.75
7.84,18.09
-0.72,2.85
-0.16,-2.12
-8.98,-4.83
3.45,9.27
-3.06,-5.71
-2.32,0.22
-1.69,7.26
9.07,13.58
-1.78,3.55
-5.71,-2.36
3.06,5.14
5.27,10.44
5.42,15.83
3.13,8.92
-0.22,2.22
2.56,7.91
7.74,15.08
-3.89,5.43
9.66,12.64
-3.92,-1.78
-4.46,-0.56
-5.13,-2.71
5.81,8.88
7.49,12.28
-7.97,-7.75
-9.48,-11.31
-3.49,-8.43
5.15,10.88
-7.14,-3.46
-0.76,-4.60
-4.49,-5.47
-7.19,-4.97
4.31,10.12
2.65,11.34
-9.68,-14.96
-5.98,-4.10
-9.63,-3.39
2.68,-1.00
-7.54,-9.86
0.29,4.59
-2.29,-3.98
1.14,6.52
-7.53,-4.23
2.95,8.22
-5.00,1.54
-5.30,-0.07
-6.12,-3.97
3.86,9.60
9.90,17.23
2.53,5.52
0.11,4.57
-5.61,-9.13
0.62,4.49
2.33,9.83
-3.27,-5.67
0.82,10.00
-0.65,2.07
-0.01,0.91
-9.30,-5.89
5.76,11.66
-2.27,0.92
-0.86,0.42
-4.87,-8.44
6.26,7.23
5.96,16.40
-5.42,-0.80
1.44,5.96
-7.82,-5.07
-9.73,-14.41
8.65,15.52
8.73,16.70
-1.81,-1.94
-9.05,-12.43
-8.33,-12.75
-5.41,-7.34
-9.72,-8.61
3.01,8.66
3.52,5.53
2.04,3.64
7.40,14.54
5.81,15.41
1.78,3.89
4.66,6.35
6.49,14.03
2.72,11.51
5.95,3.24
-6.65,-12.76
0.52,5.15
8.51,18.80
2.81,11.42
-5.60,-2.44
2.61,1.09
-4.62,-0.30
-4.69,-2.54
-5.64,-10.12
8.25,19.75
-9.04,-12.05
5.90,11.75
1.86,5.92
-0.85,-0.74
-6.33,-5.79
-1.24,-3.40
0.02,5.04
-3.04,-8.03
-4.11,-5.91
-8.43,-9.90
-9.00,-11.95
3.18,9.92
-7.89,-8.83
-4.24,-2.35
6.07,9.69
8.02,13.64
-9.49,-4.45
-9.28,-11.22
0.27,2.27
1.96,8.04
-4.85,-3.17
-2.96,-5.54
3.16,7.74
-7.04,-8.91
-5.64,-10.16
-5.41,-4.37
4.11,14.71
-8.39,-5.52
3.59,8.19
-1.46,1.35
-2.56,-2.13
3.27,11.67
0.25,4.03
-3.02,-6.24
-4.24,-5.10
1.09,2.14
-9.72,-13.40
-7.89,-3.32
6.19,16.34
5.05,14.21
5.21,10.27
-5.33,-4.20
7.54,13.96
-0.05,-0.92
1.92,12.48
-4.79,-5.43
9.57,11.46
-0.50,4.70
-4.18,-8.08
-1.71,6.54
4.65,10.79
1.93,3.97
-6.78,-10.97
1.80,4.47
-1.97,-1.85
-0.84,7.92
9.48,11.54
4.22,10.81
7.98,16.34
-9.20,-7.78
9.07,18.10
-4.29,-0.78
-1.36,-2.59
3.86,10.12
-4.34,1.01
9.54,20.71
-3.89,-4.50
1.77,10.96
7.52,14.69
-5.17,-4.86
-2.76,-3.15
-6.53,-0.05
4.46,8.29
-9.46,-14.13
2.08,9.32
-1.80,-0.87
-3.42,-5.26
2.61,1.06
-5.10,-2.94
1.88,3.36
7.45,16.70
7.57,23.82
7.32,25.62
0.99,2.73
-1.48,0.73
-2.39,-6.65
-1.60,-1.03
-5.68,-11.41
-8.03,-8.74
-6.84,-2.49
2.34,11.86
3.25,12.56
-2.82,-3.27
-3.77,2.33
-5.13,-3.97
-6.81,-8.80
2.62,2.22
8.31,13.59
-0.87,-0.15
-8.50,-9.43
-8.59,-10.52
-5.00,-1.88
-1.05,0.40
1.49,7.38
-2.33,-1.64
4.04,6.92
7.35,19.70
-4.71,-2.94
7.15,13.82
5.71,4.19
-7.32,-6.68
1.97,9.53
-1.64,-1.24
2.94,8.76
9.71,23.40
-4.75,-2.70
-1.34,0.65
-3.85,0.54
0.16,3.64
-6.60,-8.03
3.44,4.48
-4.59,-7.11
1.59,4.48
-5.38,-7.05
-7.14,-8.40
7.89,21.70
8.55,18.15
9.69,22.05
5.87,12.92
-9.32,-15.25
8.00,17.86
-4.40,-6.70
-1.74,0.42
-0.80,9.68
7.87,18.27
-7.31,-11.97
9.37,13.95
2.86,6.47
-9.32,-18.67
6.80,11.88
-3.55,-4.74
-6.84,-5.11
4.64,15.20
-8.65,-13.03
1.56,4.65
-0.46,-3.69
5.87,13.50
-8.75,-6.82
-4.30,-6.06
-2.58,-1.24
0.88,9.44
-8.38,-5.00
-7.70,-7.99
-4.87,0.42
-0.93,3.44
2.01,6.02
3.00,10.08
-3.94,-3.54
8.59,18.39
-9.58,-8.39
-7.06,-6.15
-0.26,3.08
-3.67,0.67
4.35,3.66
8.20,14.24
-5.13,-7.31
1.24,-0.46
-4.79,0.22
-0.75,-0.51
-7.65,-8.75
-4.60,-0.78
-4.61,-5.89
9.15,17.44
5.33,11.20
-0.93,1.07
1.05,6.19
-4.79,-2.43
-2.79,-4.29
8.93,13.33
7.30,20.31
-0.47,3.55
4.66,14.42
2.33,6.27
-5.91,-6.23
-7.21,-10.83
-0.90,-0.73
-1.12,0.29
9.89,17.48
-8.48,-10.28
-5.96,-0.84
5.66,6.19
9.26,13.50
-8.62,-13.14
0.74,2.60
9.12,9.07
-1.80,3.73
4.14,10.53
-2.19,2.38
-6.53,-2.82
-8.86,-14.22
-3.49,-9.36
2.22,7.17
6.12,14.79
-3.68,-5.51
-3.86,-2.11
-3.23,-3.06
-3.12,0.18
0.02,0.57
7.22,13.10
5.67,14.58
3.06,7.87
-3.68,-5.94
5.86,13.25
1.74,5.30
-1.01,1.60
5.99,16.31
-3.10,3.36
-1.65,2.92
-7.64,-7.31
-7.32,-12.62
7.90,10.51
5.43,10.06
-3.73,-5.63
9.06,18.92
-1.69,3.44
-4.11,-7.19
-0.90,-2.76
-8.08,-4.69
-3.95,-2.19
3.63,15.60
-8.32,-11.68
-6.48,-10.04
5.18,10.92
-1.56,-0.78
9.55,19.52
-1.60,3.15
-9.28,-10.62
7.36,14.75
2.64,4.34
6.19,12.90
8.81,13.33
2.45,3.95
-5.95,-4.16
-7.51,-5.24
-3.05,-4.02
2.46,12.50
7.78,11.60
-4.18,-0.60
-4.22,-1.30
-1.28,3.48
-4.10,-5.54
-1.14,3.36
-7.79,-13.77
8.90,11.05
-3.24,0.56
-2.76,-6.34
3.70,5.01
-0.25,5.48
0.34,3.15
5.19,14.43
8.01,13.47
8.68,16.14
7.52,16.80
-7.08,-12.55
-2.00,-1.39
-3.50,-2.94
-7.95,-8.78
-8.21,-12.15
7.45,13.98
-0.17,4.86
-2.49,-1.67
6.94,7.66
-8.03,-5.95
-9.62,-11.27
7.89,11.84
4.74,12.46
-8.31,-8.13
-8.09,-11.84
7.22,19.71
-0.31,-1.16
8.33,8.71
9.04,15.97
9.06,21.92
9.54,13.49
-3.82,-3.82
-3.87,-7.73
-2.67,-3.84
8.78,19.31
4.34,13.18
2.93,11.65
2.31,3.27
5.70,6.39
-8.37,-12.09
-4.99,-7.68
-5.84,-7.85
5.05,8.91
-4.35,-0.66
8.42,18.19
5.93,11.37
-3.10,2.23
2.52,3.44
-5.34,-1.42
4.96,12.37
-3.84,-1.30
5.64,17.05
8.26,10.33
-2.18,-5.11
8.50,10.48
-0.61,-0.88
-1.16,-0.70
-5.27,-1.44
-3.87,-2.65
-1.68,-2.40
9.75,20.76
-2.06,-3.40
-9.10,-12.52
-8.66,-6.98
0.92,3.33
-0.97,-0.10
-6.80,-11.20
4.35,7.98
3.28,6.08
-2.28,-3.42
-6.45,-3.39
-4.55,-5.36
-6.28,-8.54
-6.72,-10.36
-1.84,-3.00
8.28,22.35
-4.27,-1.14
6.02,9.09
3.95,9.74
-3.85,-0.88
-3.74,-4.39
-0.34,-0.32
-2.73,-0.77
5.48,15.84
0.08,2.43
-5.19,-6.06
-3.14,2.51
8.67,11.63
7.65,20.35
-2.16,4.52
4.47,10.69
7.40,12.68
-1.22,5.29
4.05,9.41
8.82,11.24
-7.18,-7.02
9.40,26.48
-5.99,-6.44
-8.84,-12.25
-0.14,3.44
9.88,15.85
9.26,19.17
-9.81,-17.77
-3.32,-5.93
-4.00,-5.85
-1.43,-2.21
-3.85,-5.55
2.42,8.32
2.18,12.59
7.30,10.52
-9.32,-14.49
3.39,12.83
-9.76,-10.64
8.57,9.85
1.24,5.61
4.32,12.44
-1.77,-0.17
-5.01,-8.45
3.66,5.73
-8.68,-11.67
-7.15,-6.48
0.30,2.81
5.97,14.99
6.79,11.93
-7.54,-15.04
4.96,4.18
-4.59,-4.20
-8.99,-5.67
-6.85,-11.49
-8.95,-18.18
-9.20,-8.68
5.01,12.38
-3.79,-5.02
-2.86,-2.96
-8.81,-3.41
7.42,9.72
-4.17,-9.55
-7.91,-6.11
-2.16,-2.00
4.34,8.73
7.45,12.05
9.20,19.06
9.73,22.99
-5.74,-7.22
-9.00,-17.08
-7.83,-11.80
5.30,10.67
8.37,10.73
6.52,18.13
2.89,6.61
5.30,11.76
5.79,6.85
8.91,21.44
7.44,7.80
8.75,12.14
9.62,7.92
2.04,8.29
-8.42,-7.88
-6.77,-3.75
2.31,4.84
7.82,9.32
1.01,2.30
-9.89,-8.73
-0.80,-3.19
-6.85,-5.33
8.55,22.21
7.31,11.73
8.43,12.95
-0.89,4.24
4.18,2.05
2.34,5.00
-0.42,3.68
-5.36,-1.18
-7.70,-12.60
-1.31,-0.08
-0.37,1.86
9.73,17.14
9.30,15.58
-1.21,-1.71
2.94,5.25
6.45,6.44
-0.41,0.80
4.63,8.41
9.51,22.33
-9.12,-1.66
3.39,6.43
7.75,16.41
4.66,8.78
-1.08,-1.54
-5.52,-3.54
2.21,9.55
7.10,18.56
8.46,15.65
2.83,5.24
-4.54,-4.78
-0.50,0.41
5.80,17.65
5.05,11.08
3.11,7.74
-4.86,2.48
9.54,15.09
0.99,6.27
4.51,14.29
-7.60,-6.32
1.78,12.92
7.92,13.89
-9.89,-9.82
-9.96,-6.02
7.92,16.24
-2.95,0.31
5.95,5.03
4.86,12.15
-5.38,1.86
1.88,3.06
-0.39,2.62
-7.66,-7.33
6.00,12.21
0.50,2.68
-6.83,-7.37
-4.10,-5.31
7.84,20.20
0.53,4.55
-5.14,-1.81
9.11,15.24
3.90,13.86
5.96,13.55
-8.73,-12.79
-3.55,-2.82
-8.30,-4.35
-2.59,2.12
0.04,0.45
-3.52,-0.97
-0.10,3.91
2.71,1.18
-5.67,-9.38
5.16,9.88
1.93,5.28
-1.77,5.47
5.22,9.11
2.88,4.14
-5.05,2.19
9.07,12.21
-2.91,-9.11
6.51,18.74
-5.65,-0.24
7.88,11.20
-8.13,-8.86
6.47,8.47
7.84,13.50
-3.35,2.93
6.96,9.79
7.16,10.74
9.09,10.00
-8.40,-10.78
-2.14,4.53
-2.78,-2.06
-5.87,-7.19
-4.71,-1.34
-8.20,-0.26
-9.86,-12.30
8.42,12.49
6.99,7.77
-5.72,-1.90
-4.06,-5.22
4.03,13.20
5.98,10.98
-5.64,-6.01
-4.63,-7.62
7.74,13.77
9.47,12.65
4.78,8.12
-6.42,-1.58
7.99,14.73
-1.29,2.41
8.46,19.83
1.30,-2.38
6.53,10.70
-8.44,-15.30
-7.52,-15.89
6.81,9.91
-5.95,-6.99
5.15,5.98
-7.44,-9.76
7.90,16.27
-5.82,-11.58
-9.53,-4.65
4.11,11.92
8.99,22.66
-3.66,1.10
8.71,21.77
4.12,11.63
-0.01,3.69
5.37,10.42
8.87,19.38
-3.67,-1.55
-3.30,-2.98
2.11,6.91
-1.87,-1.30
1.58,5.78
2.88,2.78
1.07,6.11
5.12,16.01
8.52,15.22
4.27,5.48
4.25,7.43
-7.18,-9.33
-2.89,-2.26
0.87,5.85
-7.32,-8.66
7.12,9.45
8.83,19.04
-7.33,-5.36
3.39,7.55
2.67,6.87
8.36,24.23
-5.83,-0.76
6.88,14.67
-9.82,-4.43
3.86,7.74
-0.60,2.24
-3.00,-7.98
9.31,11.49
-2.08,7.61
-3.54,-2.91
-4.71,-4.15
7.09,17.55
8.18,13.75
8.28,9.66
5.50,6.97
-9.49,-7.39
-4.91,-4.27
2.35,-0.38
4.63,10.99
-5.99,-1.68
-4.67,-6.41
-0.25,5.71
1.72,3.70
-9.30,-9.92
0.14,7.40
-3.35,0.45
0.59,8.65
6.86,12.40
-6.58,-5.41
-5.98,-9.67
-9.07,-10.82
-0.23,-0.21
6.35,10.33
-1.52,-1.09
5.05,12.61
-2.26,-1.02
7.32,18.88
7.48,12.33
-6.13,-6.32
-9.48,-9.71
7.98,16.90
2.76,15.12
4.22,8.63
-1.04,-0.19
-0.37,3.79
-3.93,-0.45
-5.13,-2.30
2.47,2.38
3.04,8.62
9.03,13.73
-5.14,-9.68
-3.80,-0.81
8.89,16.40
-1.17,3.28
-8.80,-13.74
1.56,0.16
-1.27,2.89
1.65,7.00
9.03,12.64
-6.81,-6.40
-7.05,-11.21
-8.14,-11.27
-7.60,0.60
2.75,1.37
-0.63,1.32
7.43,13.63
-9.18,-8.03
8.46,15.80
8.55,13.42
6.75,15.09
9.19,20.25
-1.51,1.45
-9.96,-17.43
4.05,5.64
-9.99,-18.44
3.80,6.53
-5.65,-9.15
1.99,5.58
6.47,11.48
8.69,18.53
-7.15,-9.61
-8.86,-5.06
-4.70,-4.34
-3.85,-1.90
3.65,13.43
3.28,7.39
-0.27,7.16
-7.55,-8.88
-9.95,-17.23
-9.01,-10.20
-1.60,-0.67
-9.20,-15.13
-6.29,-7.55
3.83,8.73
-7.34,-2.84
1.42,7.87
-0.65,1.12
-9.85,-11.51
6.69,16.17
-4.71,-3.05
-9.91,-11.36
0.29,1.01
-2.32,-1.99
-9.25,-18.40
1.99,7.94
8.60,23.85
-9.34,-11.23
3.53,1.85
1.65,5.17
-5.98,-8.50
-2.28,3.11
-5.42,-5.41
7.07,10.13
-9.38,-4.48
6.65,11.20
2.82,8.66
9.16,16.31
-4.77,-5.10
9.26,17.57
2.89,10.12
0.01,6.31
0.11,6.36
-9.58,-15.68
-6.38,-4.76
-5.55,-11.09
9.24,22.57
-2.90,1.34
8.63,15.95
-1.95,1.15
8.01,15.71
2.68,14.99
2.55,11.69
-2.47,0.07
5.70,17.34
8.25,14.54
6.72,12.74
-4.55,-10.20
-6.47,-4.54
0.65,9.18
4.71,14.41
7.94,16.90
-1.31,0.36
6.44,14.08
7.65,13.44
-3.12,-6.76
3.69,11.51
-5.71,-1.99
-5.98,-10.20
-0.20,1.11
-0.18,5.02
9.08,18.12
3.20,9.85
3.70,13.36
9.00,16.30
-7.49,-8.02
3.87,8.37
-9.89,-14.63
-5.26,-4.60
0.75,2.51
-8.48,-6.19
-1.42,0.30
-6.18,-4.96
-3.21,3.08
-0.95,3.21
-9.16,-14.37
-3.55,-3.26
-7.62,-14.43
9.75,23.28
1.61,4.79
0.34,3.33
3.80,11.94
5.01,10.31
0.87,4.35
-7.11,-3.59
-9.69,-1.02
7.98,6.30
-7.26,-5.63
-3.21,-7.63
3.86,8.15
-5.40,2.50
-0.55,3.58
-2.74,1.68
3.91,7.32
4.02,10.41
3.75,11.11
7.48,23.38
3.37,12.19
3.30,4.31
1.34,1.47
-7.71,-9.72
8.52,22.26
7.74,20.61
-0.66,1.22
-2.02,1.20
9.75,18.84
9.40,15.72
4.75,7.59
-9.38,-6.37
-7.70,-13.88
-3.35,-0.32
8.20,7.56
-7.05,-2.77
5.03,14.35
9.89,28.96
0.80,2.04
-5.66,-8.32
-8.19,-7.76
-8.22,-11.56
-7.19,-14.71
2.57,8.68
8.10,17.68
-2.27,-1.60
0.63,4.82
6.03,10.00
9.27,26.28
-2.51,1.45
-1.74,0.06
0.44,6.75
7.48,19.46
3.55,7.19
-9.92,-12.45
8.84,17.84
-6.49,-11.74
-0.66,5.88
-7.87,-4.56
4.58,8.96
7.70,13.86
-8.71,-6.08
-7.38,-9.68
-0.48,0.13
3.72,5.19
1.91,12.13
0.47,-1.69
6.40,21.82
2.79,3.11
1.38,5.85
-9.87,-12.72
-8.81,-12.87
7.96,9.95
1.04,-0.43
5.62,15.39
-7.01,-9.43
4.48,9.61
4.39,15.84
-8.04,-9.38
-6.31,-0.87
0.33,-0.03
6.23,6.98
1.31,9.80
7.53,16.61
4.37,14.61
2.55,7.45
9.04,16.07
-0.89,6.30
-0.96,2.07
-4.64,-3.29
8.84,20.75
1.57,3.85
1.00,6.12
1.73,9.48
-7.96,-4.58
2.98,10.45
-0.69,2.15
-7.30,-6.13
6.35,10.25
-7.88,-6.55
-5.63,-4.57
9.73,20.06
-4.72,-0.35
-1.23,1.73
-7.06,-3.55
9.91,25.64
-7.45,-8.49
-0.77,2.20
-1.06,2.91
2.94,2.59
1.98,5.77
-1.37,0.47
6.91,16.81
2.49,7.98
-2.59,-4.44
-1.22,1.39
2.08,10.62
0.31,-1.48
9.58,22.49
0.64,3.40
-5.81,-11.27
3.93,12.20
8.42,21.44
0.32,6.83
0.13,6.39
0.37,3.24
7.28,18.25
-9.01,-8.99
-9.18,-12.71
-1.77,4.86
-5.88,-1.49
0.08,0.73
6.48,11.99
-2.25,1.63
-6.45,-7.84
-9.11,-13.10
-7.15,-7.27
2.92,8.30
-9.04,-4.84
-2.24,1.99
5.76,9.88
3.98,9.09
-7.72,-7.67
-1.46,-1.53
-9.69,-15.77
2.10,6.53
-5.47,-3.20
-9.22,-10.99
-1.57,-1.26
9.09,12.61
-6.57,-2.98
-5.32,1.32
3.35,6.97
-3.40,-0.89
8.83,11.62
1.67,9.57
6.22,15.68
7.07,14.74
4.40,7.56
8.75,18.70
-8.81,-9.24
8.74,17.13
3.36,8.07
-8.28,-5.16
7.65,18.01
7.59,14.87
-5.87,-5.68
-0.33,-0.24
8.87,12.35
-8.01,-7.87
6.28,11.65
0.56,4.56
5.22,13.25
-5.13,-7.96
6.08,6.87
7.53,14.31
-7.10,-4.18
-1.16,6.79
2.38,6.74
1.81,2.65
6.73,14.62
3.70,9.13
4.59,9.85
1.31,0.29
3.92,11.75
-8.83,-11.87
-1.94,-0.49
9.51,17.56
1.23,4.24
-1.61,2.27
-5.84,-8.57
9.71,26.61
1.26,3.19
6.91,22.92
-3.85,-1.83
7.60,12.97
-2.83,-0.27
-9.74,-11.69
-6.67,-6.29
-7.46,-8.45
3.84,7.12
-1.63,-1.26
3.79,10.94
7.26,6.74
-0.18,3.17
-4.83,-0.25
-1.42,1.41
-6.85,-9.64
-2.61,-4.73
6.56,8.99
6.49,14.27
-7.52,-6.08
-4.36,-1.97
-7.50,-6.65
-8.98,-10.80
3.28,6.65
-3.03,-1.35
4.80,9.98
2.19,7.12
7.68,10.03
9.23,16.81
4.17,12.68
8.78,14.26
7.43,14.75
2.36,4.43
-7.97,-12.23
-3.65,0.55
-9.69,-19.76
-7.41,-12.06
-7.02,-7.01
-3.89,-10.36
5.56,9.92
-1.05,6.69
9.43,15.96
-9.25,-13.05
9.69,14.85
-6.52,-8.26
3.15,6.25
0.09,7.87
8.98,16.21
1.86,7.98
2.28,6.14
-8.54,-12.11
1.77,6.95
5.52,14.06
-2.85,4.10
1.73,4.18
8.43,12.45
-3.23,-0.99
5.07,12.42
-2.11,-2.39
-7.40,-6.32
3.90,6.33
9.68,17.77
10.00,18.81
5.44,10.69
7.34,7.54
-0.21,-1.22
-6.60,-7.88
4.64,14.32
-7.38,-2.83
-6.70,-11.50
-7.98,-5.98
5.99,13.59
5.25,14.82
0.20,2.73
-2.57,-1.72
-7.37,-8.70
3.56,6.88
6.47,8.53
7.29,13.14
8.27,15.01
6.96,6.94
-4.60,-0.37
8.52,18.71
9.19,14.09
-8.17,-9.34
-7.02,-7.32
6.69,9.72
3.80,7.24
6.57,13.46
-4.60,-7.17
7.03,17.81
-6.51,-3.93
9.77,18.67
-3.78,-2.32
1.21,7.33
-5.11,-5.42
-7.20,-10.40
1.06,9.38
1.92,8.30
-5.70,-10.11
-9.35,-12.89
1.66,9.02
-8.18,-11.88
-7.05,-11.04
9.76,13.64
-1.15,0.23
6.54,14.76
-1.87,-0.43
6.55,15.74
4.16,6.50
-8.91,-14.63
5.75,7.42
-2.57,-6.09
-9.71,-13.21
6.38,11.38
3.71,7.51
-8.12,-6.87
